season;round;date;time;location;team1;team2;result1;result2;attendance
1973-1974;13.0;1973.11.17;13:00;Felső Tisza-parti Stadion;Szegedi EOL;Dorogi AC;0.0;0.0;3000.0
1973-1974;13.0;1973.11.17;13:00;ZTE-Stadion;Zalaegerszegi TE;Szombathelyi Haladás VSE;2.0;0.0;15000.0
1973-1974;13.0;1973.11.17;13:00;PVSK Stadion;Pécsi Munkás SC;Tatabányai Bányász SC;1.0;0.0;6000.0
1973-1974;13.0;1973.11.17;13:45;Népstadion;Ferencvárosi TC;Salgótarjáni BTC;2.0;2.0;8000.0
1973-1974;13.0;1973.11.17;16:00;Megyeri úti Stadion;Újpesti Dózsa SC;Rába Vasas ETO;2.0;0.0;5000.0
1973-1974;13.0;1973.11.17;16:30;Honvéd-pálya;Budapesti Honvéd SE;Vasas SC;1.0;0.0;2500.0
1973-1974;12.0;1973.11.10;13:00;Fáy utcai Stadion;Vasas SC;Videoton SC;0.0;0.0;3000.0
1973-1974;12.0;1973.11.11;13:00;Szőnyi úti Stadion;Vörös Meteor Egyetértés SK;Újpesti Dózsa SC;1.0;1.0;7000.0
1973-1974;12.0;1973.11.11;13:00;SKSE-stadion;Salgótarjáni BTC;Pécsi Munkás SC;1.0;1.0;5000.0
1973-1974;12.0;1973.11.11;13:00;Bányász Stadion;Tatabányai Bányász SC;Zalaegerszegi TE;2.0;1.0;6000.0
1973-1974;12.0;1973.11.11;13:00;Rohonci úti Stadion;Szombathelyi Haladás VSE;Szegedi EOL;2.0;0.0;7000.0
1973-1974;12.0;1973.11.11;13:00;Városi Stadion;Dorogi AC;MTK;0.0;2.0;5000.0
1973-1974;12.0;1973.11.11;13:00;Béke téri Stadion;Csepel SC;Budapesti Honvéd SE;2.0;0.0;6000.0
1973-1974;12.0;1973.11.11;13:00;Vagongyári pálya;Rába Vasas ETO;Ferencvárosi TC;1.0;1.0;14000.0
1973-1974;11.0;1973.11.03;13:00;PVSK Stadion;Pécsi Munkás SC;Rába Vasas ETO;2.0;0.0;4000.0
1973-1974;11.0;1973.11.03;13:00;Honvéd-pálya;Budapesti Honvéd SE;Dorogi AC;2.0;0.0;2500.0
1973-1974;11.0;1973.11.03;13:00;Sóstói Stadion;Videoton SC;Újpesti Dózsa SC;3.0;2.0;10000.0
1973-1974;11.0;1973.11.04;13:00;Felső Tisza-parti Stadion;Szegedi EOL;Tatabányai Bányász SC;1.0;1.0;5000.0
1973-1974;11.0;1973.11.04;13:00;ZTE-Stadion;Zalaegerszegi TE;Salgótarjáni BTC;2.0;1.0;8000.0
1973-1974;11.0;1973.11.04;13:00;Hungária körúti Stadion;MTK;Szombathelyi Haladás VSE;1.0;2.0;3500.0
1973-1974;11.0;1973.11.04;14:15;Népstadion;Vasas SC;Csepel SC;0.0;2.0;8000.0
1973-1974;11.0;1973.11.04;16:00;Népstadion;Ferencvárosi TC;Vörös Meteor Egyetértés SK;5.0;1.0;12000.0
1973-1974;10.0;1973.10.27;17:30;Megyeri úti Stadion;Újpesti Dózsa SC;Ferencvárosi TC;1.0;2.0;10000.0
1973-1974;10.0;1973.10.28;13:30;Szőnyi úti Stadion;Vörös Meteor Egyetértés SK;Pécsi Munkás SC;0.0;0.0;1500.0
1973-1974;10.0;1973.10.28;13:30;Vagongyári pálya;Rába Vasas ETO;Zalaegerszegi TE;2.0;1.0;9000.0
1973-1974;10.0;1973.10.28;13:30;SKSE-stadion;Salgótarjáni BTC;Szegedi EOL;1.0;0.0;5000.0
1973-1974;10.0;1973.10.28;13:30;Bányász Stadion;Tatabányai Bányász SC;MTK;1.0;0.0;5000.0
1973-1974;10.0;1973.10.28;13:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Budapesti Honvéd SE;0.0;2.0;12000.0
1973-1974;10.0;1973.10.28;13:30;Városi Stadion;Dorogi AC;Vasas SC;2.0;3.0;8000.0
1973-1974;10.0;1973.10.28;13:30;Béke téri Stadion;Csepel SC;Videoton SC;2.0;1.0;3000.0
1973-1974;9.0;1973.10.20;13:30;Sóstói Stadion;Videoton SC;Ferencvárosi TC;2.0;3.0;10000.0
1973-1974;9.0;1973.10.20;13:30;PVSK Stadion;Pécsi Munkás SC;Újpesti Dózsa SC;0.0;0.0;10000.0
1973-1974;9.0;1973.10.20;16:30;Honvéd-pálya;Budapesti Honvéd SE;Tatabányai Bányász SC;3.0;1.0;5000.0
1973-1974;9.0;1973.10.21;13:30;Felső Tisza-parti Stadion;Szegedi EOL;Rába Vasas ETO;0.0;1.0;6000.0
1973-1974;9.0;1973.10.21;13:30;ZTE-Stadion;Zalaegerszegi TE;Vörös Meteor Egyetértés SK;1.0;1.0;6000.0
1973-1974;9.0;1973.10.21;13:30;Béke téri Stadion;Csepel SC;Dorogi AC;1.0;1.0;1000.0
1973-1974;9.0;1973.10.21;13:30;Fáy utcai Stadion;Vasas SC;Szombathelyi Haladás VSE;1.0;1.0;3000.0
1973-1974;9.0;1973.10.21;13:30;Hungária körúti Stadion;MTK;Salgótarjáni BTC;1.0;1.0;2500.0
1973-1974;8.0;1973.10.06;14:00;Szőnyi úti Stadion;Vörös Meteor Egyetértés SK;Szegedi EOL;1.0;1.0;3000.0
1973-1974;8.0;1973.10.07;14:00;Vagongyári pálya;Rába Vasas ETO;MTK;3.0;1.0;8500.0
1973-1974;8.0;1973.10.07;14:00;SKSE-stadion;Salgótarjáni BTC;Budapesti Honvéd SE;0.0;3.0;12000.0
1973-1974;8.0;1973.10.07;14:00;Bányász Stadion;Tatabányai Bányász SC;Vasas SC;3.0;0.0;10000.0
1973-1974;8.0;1973.10.07;14:00;Rohonci úti Stadion;Szombathelyi Haladás VSE;Csepel SC;1.0;2.0;7000.0
1973-1974;8.0;1973.10.07;14:00;Városi Stadion;Dorogi AC;Videoton SC;0.0;2.0;5000.0
1973-1974;8.0;1973.10.07;14:00;Népstadion;Ferencvárosi TC;Pécsi Munkás SC;0.0;0.0;10000.0
1973-1974;8.0;1973.10.07;16:00;Megyeri úti Stadion;Újpesti Dózsa SC;Zalaegerszegi TE;4.0;1.0;8000.0
1973-1974;7.0;1973.09.29;15:00;Fáy utcai Stadion;Vasas SC;Salgótarjáni BTC;0.0;1.0;5500.0
1973-1974;7.0;1973.09.29;17:30;Béke téri Stadion;Csepel SC;Tatabányai Bányász SC;0.0;1.0;500.0
1973-1974;7.0;1973.09.29;18:00;Honvéd-pálya;Budapesti Honvéd SE;Rába Vasas ETO;1.0;2.0;5000.0
1973-1974;7.0;1973.09.30;14:30;Városi Stadion;Dorogi AC;Szombathelyi Haladás VSE;0.0;1.0;6000.0
1973-1974;7.0;1973.09.30;15:00;ZTE-Stadion;Zalaegerszegi TE;Ferencvárosi TC;1.0;0.0;20000.0
1973-1974;7.0;1973.09.30;15:00;Hungária körúti Stadion;MTK;Vörös Meteor Egyetértés SK;3.0;0.0;3000.0
1973-1974;7.0;1973.09.30;15:00;Felső Tisza-parti Stadion;Szegedi EOL;Újpesti Dózsa SC;0.0;1.0;22000.0
1973-1974;7.0;1973.09.30;15:00;Sóstói Stadion;Videoton SC;Pécsi Munkás SC;1.0;1.0;9000.0
1973-1974;6.0;1973.09.22;15:00;PVSK Stadion;Pécsi Munkás SC;Zalaegerszegi TE;3.0;1.0;10000.0
1973-1974;6.0;1973.09.22;15:00;Vagongyári pálya;Rába Vasas ETO;Vasas SC;1.0;0.0;8500.0
1973-1974;6.0;1973.09.22;15:00;SKSE-stadion;Salgótarjáni BTC;Csepel SC;1.0;1.0;6000.0
1973-1974;6.0;1973.09.22;15:00;Bányász Stadion;Tatabányai Bányász SC;Dorogi AC;3.0;2.0;4000.0
1973-1974;6.0;1973.09.22;15:00;Rohonci úti Stadion;Szombathelyi Haladás VSE;Videoton SC;1.0;2.0;8000.0
1973-1974;6.0;1973.09.22;16:15;Népstadion;Vörös Meteor Egyetértés SK;Budapesti Honvéd SE;0.0;3.0;7000.0
1973-1974;6.0;1973.09.22;18:00;Népstadion;Ferencvárosi TC;Szegedi EOL;1.0;2.0;12000.0
1973-1974;6.0;1973.09.22;18:00;Megyeri úti Stadion;Újpesti Dózsa SC;MTK;4.0;1.0;9000.0
1973-1974;5.0;1973.09.14;15:30;Fáy utcai Stadion;Vasas SC;Vörös Meteor Egyetértés SK;1.0;1.0;5000.0
1973-1974;5.0;1973.09.15;15:30;Hungária körúti Stadion;MTK;Ferencvárosi TC;0.0;2.0;10000.0
1973-1974;5.0;1973.09.15;18:30;Honvéd-pálya;Budapesti Honvéd SE;Újpesti Dózsa SC;2.0;4.0;18000.0
1973-1974;5.0;1973.09.16;15:00;Béke téri Stadion;Csepel SC;Rába Vasas ETO;1.0;1.0;4000.0
1973-1974;5.0;1973.09.16;15:00;Városi Stadion;Dorogi AC;Salgótarjáni BTC;0.0;0.0;10000.0
1973-1974;5.0;1973.09.16;15:00;Rohonci úti Stadion;Szombathelyi Haladás VSE;Tatabányai Bányász SC;1.0;1.0;7000.0
1973-1974;5.0;1973.09.16;15:00;Felső Tisza-parti Stadion;Szegedi EOL;Pécsi Munkás SC;4.0;0.0;8000.0
1973-1974;5.0;1973.09.16;15:00;Sóstói Stadion;Videoton SC;Zalaegerszegi TE;1.0;0.0;8000.0
1973-1974;4.0;1973.09.08;15:30;Szőnyi úti Stadion;Vörös Meteor Egyetértés SK;Csepel SC;2.0;4.0;4000.0
1973-1974;4.0;1973.09.09;15:30;ZTE-Stadion;Zalaegerszegi TE;Szegedi EOL;2.0;1.0;12000.0
1973-1974;4.0;1973.09.09;15:30;PVSK Stadion;Pécsi Munkás SC;MTK;3.0;1.0;10000.0
1973-1974;4.0;1973.09.09;15:30;Vagongyári pálya;Rába Vasas ETO;Dorogi AC;2.0;1.0;6000.0
1973-1974;4.0;1973.09.09;15:30;SKSE-stadion;Salgótarjáni BTC;Szombathelyi Haladás VSE;1.0;0.0;6000.0
1973-1974;4.0;1973.09.09;15:30;Bányász Stadion;Tatabányai Bányász SC;Videoton SC;2.0;2.0;5000.0
1973-1974;4.0;1973.09.09;16:15;Népstadion;Újpesti Dózsa SC;Vasas SC;2.0;4.0;79000.0
1973-1974;4.0;1973.09.09;18:00;Népstadion;Ferencvárosi TC;Budapesti Honvéd SE;2.0;1.0;79000.0
1973-1974;3.0;1973.09.01;15:30;Fáy utcai Stadion;Vasas SC;Ferencvárosi TC;1.0;2.0;17000.0
1973-1974;3.0;1973.09.01;18:00;Honvéd-pálya;Budapesti Honvéd SE;Pécsi Munkás SC;3.0;0.0;8000.0
1973-1974;3.0;1973.09.02;15:30;Sóstói Stadion;Videoton SC;Szegedi EOL;1.0;3.0;8000.0
1973-1974;3.0;1973.09.02;15:30;Bányász Stadion;Tatabányai Bányász SC;Salgótarjáni BTC;1.0;1.0;10000.0
1973-1974;3.0;1973.09.02;15:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Rába Vasas ETO;1.0;1.0;15000.0
1973-1974;3.0;1973.09.02;15:30;Városi Stadion;Dorogi AC;Vörös Meteor Egyetértés SK;1.0;1.0;12000.0
1973-1974;3.0;1973.09.02;15:30;Béke téri Stadion;Csepel SC;Újpesti Dózsa SC;1.0;2.0;15000.0
1973-1974;3.0;1973.09.02;15:30;Hungária körúti Stadion;MTK;Zalaegerszegi TE;0.0;0.0;8000.0
1973-1974;2.0;1973.08.24;18:30;Megyeri úti Stadion;Újpesti Dózsa SC;Dorogi AC;5.0;3.0;15000.0
1973-1974;2.0;1973.08.25;16:00;ZTE-Stadion;Zalaegerszegi TE;Budapesti Honvéd SE;0.0;4.0;18000.0
1973-1974;2.0;1973.08.25;17:00;Népstadion;Ferencvárosi TC;Csepel SC;4.0;1.0;10000.0
1973-1974;2.0;1973.08.26;16:00;Vagongyári pálya;Rába Vasas ETO;Tatabányai Bányász SC;2.0;1.0;7000.0
1973-1974;2.0;1973.08.26;16:00;Szőnyi úti Stadion;Vörös Meteor Egyetértés SK;Szombathelyi Haladás VSE;0.0;0.0;7000.0
1973-1974;2.0;1973.08.26;16:00;PVSK Stadion;Pécsi Munkás SC;Vasas SC;0.0;0.0;16000.0
1973-1974;2.0;1973.08.26;16:00;Felső Tisza-parti Stadion;Szegedi EOL;MTK;1.0;2.0;10000.0
1973-1974;2.0;1973.08.26;16:00;Sóstói Stadion;Videoton SC;Salgótarjáni BTC;0.0;0.0;10000.0
1973-1974;1.0;1973.08.17;16:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Újpesti Dózsa SC;2.0;3.0;18000.0
1973-1974;1.0;1973.08.18;16:00;Hungária körúti Stadion;MTK;Videoton SC;3.0;0.0;8000.0
1973-1974;1.0;1973.08.19;14:15;Népstadion;Csepel SC;Pécsi Munkás SC;2.0;3.0;4000.0
1973-1974;1.0;1973.08.19;16:00;Népstadion;Budapesti Honvéd SE;Szegedi EOL;4.0;1.0;7000.0
1973-1974;1.0;1973.08.19;16:00;Fáy utcai Stadion;Vasas SC;Zalaegerszegi TE;1.0;1.0;7000.0
1973-1974;1.0;1973.08.19;16:00;Bányász Stadion;Tatabányai Bányász SC;Vörös Meteor Egyetértés SK;2.0;1.0;5000.0
1973-1974;1.0;1973.08.19;16:00;SKSE-stadion;Salgótarjáni BTC;Rába Vasas ETO;3.0;1.0;6000.0
1973-1974;1.0;1973.08.20;16:00;Városi Stadion;Dorogi AC;Ferencvárosi TC;1.0;0.0;15000.0
1974-1975;30.0;1975.05.31;17:00;SKSE-stadion;Salgótarjáni BTC;Csepel SC;3.0;1.0;5000.0
1974-1975;30.0;1975.05.31;17:00;DVTK Stadion;Diósgyőri Vasgyárak TK;Rába Vasas ETO;0.0;0.0;4000.0
1974-1975;30.0;1975.05.31;17:00;ZTE-Stadion;Zalaegerszegi TE;MTK-VM SK;2.0;0.0;5000.0
1974-1975;30.0;1975.05.31;17:00;Kórház utcai Stadion;Békéscsabai Előre Spartacus SC;Szombathelyi Haladás VSE;0.0;0.0;20000.0
1974-1975;30.0;1975.05.31;17:00;Bányász Stadion;Tatabányai Bányász SC;Pécsi Munkás SC;2.0;1.0;10000.0
1974-1975;30.0;1975.05.31;17:15;Népstadion;Újpesti Dózsa SC;Budapesti Honvéd SE;1.0;1.0;18000.0
1974-1975;30.0;1975.05.31;19:00;Népstadion;Ferencvárosi TC;Vasas SC;3.0;3.0;23000.0
1974-1975;29.0;1975.05.24;17:00;Hungária körúti Stadion;MTK-VM SK;Békéscsabai Előre Spartacus SC;2.0;0.0;4000.0
1974-1975;29.0;1975.05.24;17:00;Rohonci úti Stadion;Szombathelyi Haladás VSE;Salgótarjáni BTC;0.0;0.0;8000.0
1974-1975;29.0;1975.05.24;17:00;PVSK Stadion;Pécsi Munkás SC;Diósgyőri Vasgyárak TK;0.0;1.0;4000.0
1974-1975;29.0;1975.05.24;17:00;Vagongyári pálya;Rába Vasas ETO;Újpesti Dózsa SC;3.0;1.0;6000.0
1974-1975;29.0;1975.05.24;17:00;Fáy utcai Stadion;Vasas SC;Zalaegerszegi TE;3.0;1.0;3000.0
1974-1975;29.0;1975.05.24;17:00;Béke téri Stadion;Csepel SC;Ferencvárosi TC;0.0;0.0;13000.0
1974-1975;29.0;1975.05.24;17:00;Sóstói Stadion;Videoton SC;Tatabányai Bányász SC;6.0;1.0;3500.0
1974-1975;28.0;1975.05.17;17:00;Kórház utcai Stadion;Békéscsabai Előre Spartacus SC;Salgótarjáni BTC;0.0;1.0;14000.0
1974-1975;28.0;1975.05.17;17:00;ZTE-Stadion;Zalaegerszegi TE;Tatabányai Bányász SC;4.0;1.0;4000.0
1974-1975;28.0;1975.05.17;17:00;Vagongyári pálya;Rába Vasas ETO;Pécsi Munkás SC;1.0;0.0;4000.0
1974-1975;28.0;1975.05.17;17:00;Sóstói Stadion;Videoton SC;Csepel SC;0.0;1.0;5000.0
1974-1975;28.0;1975.05.17;17:00;Hungária körúti Stadion;MTK-VM SK;Szombathelyi Haladás VSE;4.0;1.0;3500.0
1974-1975;28.0;1975.05.17;17:15;Népstadion;Budapesti Honvéd SE;Vasas SC;1.0;0.0;20000.0
1974-1975;28.0;1975.05.17;19:00;Népstadion;Ferencvárosi TC;Újpesti Dózsa SC;2.0;2.0;25000.0
1974-1975;27.0;1975.05.21;17:00;Rohonci úti Stadion;Szombathelyi Haladás VSE;Rába Vasas ETO;3.0;0.0;8000.0
1974-1975;27.0;1975.05.21;17:00;Fáy utcai Stadion;Vasas SC;Videoton SC;3.0;0.0;3000.0
1974-1975;27.0;1975.05.21;17:00;Bányász Stadion;Tatabányai Bányász SC;Ferencvárosi TC;2.0;0.0;8000.0
1974-1975;27.0;1975.05.21;17:00;DVTK Stadion;Diósgyőri Vasgyárak TK;Békéscsabai Előre Spartacus SC;0.0;3.0;4000.0
1974-1975;27.0;1975.05.21;17:00;PVSK Stadion;Pécsi Munkás SC;MTK-VM SK;3.0;1.0;5000.0
1974-1975;27.0;1975.05.21;18:30;Megyeri úti Stadion;Újpesti Dózsa SC;Zalaegerszegi TE;4.0;2.0;5000.0
1974-1975;27.0;1975.05.21;18:30;Béke téri Stadion;Csepel SC;Budapesti Honvéd SE;1.0;1.0;10000.0
1974-1975;26.0;1975.05.10;16:30;Bányász Stadion;Tatabányai Bányász SC;Salgótarjáni BTC;3.0;1.0;4000.0
1974-1975;26.0;1975.05.10;16:30;DVTK Stadion;Diósgyőri Vasgyárak TK;Újpesti Dózsa SC;0.0;0.0;8000.0
1974-1975;26.0;1975.05.10;16:30;Hungária körúti Stadion;MTK-VM SK;Rába Vasas ETO;1.0;0.0;4000.0
1974-1975;26.0;1975.05.10;16:30;Fáy utcai Stadion;Vasas SC;Pécsi Munkás SC;1.0;1.0;4000.0
1974-1975;26.0;1975.05.10;16:30;Kórház utcai Stadion;Békéscsabai Előre Spartacus SC;Ferencvárosi TC;1.0;0.0;22000.0
1974-1975;26.0;1975.05.10;18:30;Béke téri Stadion;Csepel SC;Szombathelyi Haladás VSE;2.0;1.0;3000.0
1974-1975;26.0;1975.05.10;18:30;Honvéd-pálya;Budapesti Honvéd SE;Videoton SC;4.0;1.0;4000.0
1974-1975;25.0;1975.05.03;16:30;SKSE-stadion;Salgótarjáni BTC;Diósgyőri Vasgyárak TK;2.0;0.0;5000.0
1974-1975;25.0;1975.05.03;16:30;PVSK Stadion;Pécsi Munkás SC;Csepel SC;0.0;2.0;4000.0
1974-1975;25.0;1975.05.03;16:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Vasas SC;1.0;1.0;10000.0
1974-1975;25.0;1975.05.03;16:30;Vagongyári pálya;Rába Vasas ETO;Budapesti Honvéd SE;3.0;3.0;7000.0
1974-1975;25.0;1975.05.03;16:30;Sóstói Stadion;Videoton SC;MTK-VM SK;1.0;1.0;7000.0
1974-1975;25.0;1975.05.03;16:30;Üllői úti Stadion;Ferencvárosi TC;Zalaegerszegi TE;1.0;1.0;20000.0
1974-1975;25.0;1975.05.03;18:30;Megyeri úti Stadion;Újpesti Dózsa SC;Tatabányai Bányász SC;5.0;2.0;6000.0
1974-1975;24.0;1975.04.26;16:00;SKSE-stadion;Salgótarjáni BTC;MTK-VM SK;1.0;0.0;6000.0
1974-1975;24.0;1975.04.26;16:00;Bányász Stadion;Tatabányai Bányász SC;Szombathelyi Haladás VSE;0.0;1.0;3500.0
1974-1975;24.0;1975.04.26;16:00;DVTK Stadion;Diósgyőri Vasgyárak TK;Videoton SC;1.0;1.0;6000.0
1974-1975;24.0;1975.04.26;16:00;ZTE-Stadion;Zalaegerszegi TE;Budapesti Honvéd SE;1.0;0.0;10000.0
1974-1975;24.0;1975.04.26;16:00;Kórház utcai Stadion;Békéscsabai Előre Spartacus SC;Vasas SC;0.0;0.0;16000.0
1974-1975;24.0;1975.04.26;16:00;Üllői úti Stadion;Ferencvárosi TC;Pécsi Munkás SC;1.0;0.0;12000.0
1974-1975;24.0;1975.04.26;18:00;Megyeri úti Stadion;Újpesti Dózsa SC;Csepel SC;3.0;1.0;5000.0
1974-1975;23.0;1975.04.19;16:00;Hungária körúti Stadion;MTK-VM SK;Tatabányai Bányász SC;1.0;0.0;2000.0
1974-1975;23.0;1975.04.19;16:00;Sóstói Stadion;Videoton SC;Salgótarjáni BTC;3.0;1.0;6000.0
1974-1975;23.0;1975.04.19;16:00;Rohonci úti Stadion;Szombathelyi Haladás VSE;Diósgyőri Vasgyárak TK;3.0;0.0;6000.0
1974-1975;23.0;1975.04.19;16:00;Vagongyári pálya;Rába Vasas ETO;Zalaegerszegi TE;2.0;2.0;4000.0
1974-1975;23.0;1975.04.19;17:15;Népstadion;Vasas SC;Újpesti Dózsa SC;3.0;0.0;45000.0
1974-1975;23.0;1975.04.19;18:00;Béke téri Stadion;Csepel SC;Békéscsabai Előre Spartacus SC;0.0;0.0;2000.0
1974-1975;23.0;1975.04.19;19:00;Népstadion;Budapesti Honvéd SE;Ferencvárosi TC;1.0;1.0;45000.0
1974-1975;22.0;1975.04.12;15:30;ZTE-Stadion;Zalaegerszegi TE;Csepel SC;0.0;1.0;7000.0
1974-1975;22.0;1975.04.12;15:30;Kórház utcai Stadion;Békéscsabai Előre Spartacus SC;Videoton SC;0.0;0.0;12000.0
1974-1975;22.0;1975.04.12;15:30;Bányász Stadion;Tatabányai Bányász SC;Rába Vasas ETO;4.0;0.0;5000.0
1974-1975;22.0;1975.04.12;15:30;SKSE-stadion;Salgótarjáni BTC;Pécsi Munkás SC;1.0;0.0;7000.0
1974-1975;22.0;1975.04.12;15:30;DVTK Stadion;Diósgyőri Vasgyárak TK;Budapesti Honvéd SE;1.0;1.0;12000.0
1974-1975;22.0;1975.04.12;15:30;Üllői úti Stadion;Ferencvárosi TC;Szombathelyi Haladás VSE;1.0;0.0;15000.0
1974-1975;22.0;1975.04.12;17:30;Megyeri úti Stadion;Újpesti Dózsa SC;MTK-VM SK;4.0;1.0;6000.0
1974-1975;21.0;1975.04.05;15:30;SKSE-stadion;Salgótarjáni BTC;Zalaegerszegi TE;2.0;0.0;7000.0
1974-1975;21.0;1975.04.05;15:30;Bányász Stadion;Tatabányai Bányász SC;Békéscsabai Előre Spartacus SC;1.0;0.0;5000.0
1974-1975;21.0;1975.04.05;15:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Videoton SC;2.0;1.0;7000.0
1974-1975;21.0;1975.04.05;15:30;PVSK Stadion;Pécsi Munkás SC;Budapesti Honvéd SE;0.0;0.0;14000.0
1974-1975;21.0;1975.04.05;15:30;Fáy utcai Stadion;Vasas SC;MTK-VM SK;4.0;2.0;7000.0
1974-1975;21.0;1975.04.05;15:30;DVTK Stadion;Diósgyőri Vasgyárak TK;Ferencvárosi TC;1.0;1.0;25000.0
1974-1975;21.0;1975.04.05;17:30;Béke téri Stadion;Csepel SC;Rába Vasas ETO;1.0;0.0;5000.0
1974-1975;20.0;1975.03.22;15:00;Sóstói Stadion;Videoton SC;Pécsi Munkás SC;1.0;0.0;6000.0
1974-1975;20.0;1975.03.22;15:00;ZTE-Stadion;Zalaegerszegi TE;Diósgyőri Vasgyárak TK;0.0;0.0;7000.0
1974-1975;20.0;1975.03.22;15:00;Kórház utcai Stadion;Békéscsabai Előre Spartacus SC;Újpesti Dózsa SC;0.0;2.0;20000.0
1974-1975;20.0;1975.03.22;15:00;Hungária körúti Stadion;MTK-VM SK;Csepel SC;1.0;0.0;3500.0
1974-1975;20.0;1975.03.22;15:00;Vagongyári pálya;Rába Vasas ETO;Vasas SC;1.0;2.0;9000.0
1974-1975;20.0;1975.03.22;15:00;Üllői úti Stadion;Ferencvárosi TC;Salgótarjáni BTC;4.0;1.0;15000.0
1974-1975;20.0;1975.03.22;16:00;Honvéd-pálya;Budapesti Honvéd SE;Szombathelyi Haladás VSE;3.0;0.0;9000.0
1974-1975;19.0;1975.03.15;14:30;Honvéd-pálya;Budapesti Honvéd SE;Tatabányai Bányász SC;2.0;1.0;9000.0
1974-1975;19.0;1975.03.15;14:30;Sóstói Stadion;Videoton SC;Zalaegerszegi TE;1.0;0.0;6000.0
1974-1975;19.0;1975.03.15;14:30;PVSK Stadion;Pécsi Munkás SC;Békéscsabai Előre Spartacus SC;1.0;1.0;7000.0
1974-1975;19.0;1975.03.15;14:30;Rohonci úti Stadion;Szombathelyi Haladás VSE;Újpesti Dózsa SC;1.0;2.0;8000.0
1974-1975;19.0;1975.03.15;14:30;Fáy utcai Stadion;Vasas SC;Salgótarjáni BTC;2.0;4.0;6000.0
1974-1975;19.0;1975.03.15;14:30;Vagongyári pálya;Rába Vasas ETO;Ferencvárosi TC;2.0;1.0;12000.0
1974-1975;19.0;1975.03.15;16:30;Béke téri Stadion;Csepel SC;Diósgyőri Vasgyárak TK;1.0;1.0;4000.0
1974-1975;18.0;1975.03.08;14:30;Bányász Stadion;Tatabányai Bányász SC;Csepel SC;1.0;0.0;3000.0
1974-1975;18.0;1975.03.08;14:30;ZTE-Stadion;Zalaegerszegi TE;Pécsi Munkás SC;2.0;0.0;8000.0
